Activity Date,Elevation Gain,Activity Time,Activity Type,Comment,Distance in Miles
2026-01-01,433 ft,48:37,Ride,outside,11.13
2026-01-01,21 ft,39:11,Walk,outside,2.36
2026-01-02,37 ft,47:14,Walk,outside,2.82
2026-01-03,1063 ft,02:08:51,Ride,outside,28.45
2026-01-04,147 ft,46:51,Run,outside,5.02
2026-01-05,55 ft,46:28,Walk,outside,2.81
2026-01-06,55 ft,46:20,Walk,outside,2.58
2026-01-07,144 ft,45:29,Run,outside,4.33
2026-01-08,66 ft,55:32,Walk,outside,3.08
2026-01-09,0 ft,46:56,Run,outside,3.00
2026-01-10,9128 ft,02:10:00,Ski,outside,18.59
2026-01-10,4985 ft,58:38,Ski,outside,8.97
